,Date,snmpreportedmac,variable,value,sort_order,transmission_type,radio_type
194,2020-03-01,A8:9F:EC:DA:B2:49,2.4_Tx_mcs1,14104566,1,Tx,2.4
195,2020-03-01,A8:9F:EC:DA:B2:4D,2.4_Tx_mcs1,10439244,1,Tx,2.4
196,2020-03-01,A8:9F:EC:DA:B2:51,2.4_Tx_mcs1,6213460,1,Tx,2.4
197,2020-03-01,A8:9F:EC:DA:B2:65,2.4_Tx_mcs1,4178955,1,Tx,2.4
198,2020-03-01,A8:9F:EC:DA:B2:69,2.4_Tx_mcs1,6017239,1,Tx,2.4
199,2020-03-01,A8:9F:EC:DA:B2:6D,2.4_Tx_mcs1,7043787,1,Tx,2.4
200,2020-03-01,A8:9F:EC:DA:B2:71,2.4_Tx_mcs1,6291535,1,Tx,2.4
201,2020-03-01,A8:9F:EC:DA:B2:75,2.4_Tx_mcs1,6111131,1,Tx,2.4
202,2020-03-01,A8:9F:EC:DA:B2:E1,2.4_Tx_mcs1,5551763,1,Tx,2.4
203,2020-03-01,A8:9F:EC:DA:B3:7D,2.4_Tx_mcs1,6298527,1,Tx,2.4
204,2020-03-01,A8:9F:EC:DA:B3:91,2.4_Tx_mcs1,9478017,1,Tx,2.4
205,2020-03-01,A8:9F:EC:DA:B3:F5,2.4_Tx_mcs1,8696681,1,Tx,2.4
206,2020-03-01,A8:9F:EC:DA:B3:F9,2.4_Tx_mcs1,21358264,1,Tx,2.4
207,2020-03-01,A8:9F:EC:DA:B4:01,2.4_Tx_mcs1,11486506,1,Tx,2.4
208,2020-03-01,A8:9F:EC:DA:B5:85,2.4_Tx_mcs1,8694569,1,Tx,2.4
209,2020-03-01,A8:9F:EC:DA:B5:8D,2.4_Tx_mcs1,4500364,1,Tx,2.4
210,2020-03-01,A8:9F:EC:DA:B5:91,2.4_Tx_mcs1,8776197,1,Tx,2.4
211,2020-03-01,A8:9F:EC:DA:B5:FD,2.4_Tx_mcs1,4853051,1,Tx,2.4
212,2020-03-01,A8:9F:EC:DA:B6:09,2.4_Tx_mcs1,3432535,1,Tx,2.4
213,2020-03-01,A8:9F:EC:DA:B6:79,2.4_Tx_mcs1,3594170,1,Tx,2.4
214,2020-03-01,A8:9F:EC:DA:B6:81,2.4_Tx_mcs1,3683876,1,Tx,2.4
